Seq #,Title,20 Char,Publisher,Prods,ISSN,E-ISSN,Country,Language,SCIE,SSCI,AHCI,WoS Category
14005J,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS,J BIOMED MATER RES B,WILEY-BLACKWELL,K  D  JS Q  P  B1 BA BP CC ES,1552-4973,1552-4981,UNITED STATES,English,,,,"Engineering, Biomedical"
14005J,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS,J BIOMED MATER RES B,WILEY-BLACKWELL,K  D  JS Q  P  B1 BA BP CC ES,1552-4973,1552-4981,UNITED STATES,English,,,,"Materials Science, Biomaterials"
C7218J,Journal of Biomedical Nanotechnology,J BIOMED NANOTECHNOL,AMER SCIENTIFIC PUBLISHERS,K  D  JS Q  XC P  CC ES,1550-7033,1550-7041,UNITED STATES,English,,,,Nanoscience & Nanotechnology
C7218J,Journal of Biomedical Nanotechnology,J BIOMED NANOTECHNOL,AMER SCIENTIFIC PUBLISHERS,K  D  JS Q  XC P  CC ES,1550-7033,1550-7041,UNITED STATES,English,,,,"Materials Science, Biomaterials"
13066J,JOURNAL OF BIOMEDICAL OPTICS,J BIOMED OPT,SPIE-SOC PHOTO-OPTICAL INSTRUMENTATION ENGINEERS,K  D  JS Q  P  T  B2 BA BP PI CC ES,1083-3668,1560-2281,UNITED STATES,English,,,,Optics
13066J,JOURNAL OF BIOMEDICAL OPTICS,J BIOMED OPT,SPIE-SOC PHOTO-OPTICAL INSTRUMENTATION ENGINEERS,K  D  JS Q  P  T  B2 BA BP PI CC ES,1083-3668,1560-2281,UNITED STATES,English,,,,Biochemical Research Methods
13066J,JOURNAL OF BIOMEDICAL OPTICS,J BIOMED OPT,SPIE-SOC PHOTO-OPTICAL INSTRUMENTATION ENGINEERS,K  D  JS Q  P  T  B2 BA BP PI CC ES,1083-3668,1560-2281,UNITED STATES,English,,,,"Radiology, Nuclear Medicine & Medical Imaging"
12138J,JOURNAL OF BIOMEDICAL SCIENCE,J BIOMED SCI,BIOMED CENTRAL LTD,K  D  JS Q  XC P  B1 BA BP PI CC ES,1021-7770,1423-0127,TAIWAN,English,,,,Cell Biology
12138J,JOURNAL OF BIOMEDICAL SCIENCE,J BIOMED SCI,BIOMED CENTRAL LTD,K  D  JS Q  XC P  B1 BA BP PI CC ES,1021-7770,1423-0127,TAIWAN,English,,,,"Medicine, Research & Experimental"
D2659J,Journal of Biomedical Semantics,J BIOMED SEMANT,BIOMED CENTRAL LTD,D  JS Q  XC B1 BA BP ES,2041-1480,2041-1480,ENGLAND,English,,,,Mathematical & Computational Biology
09793J,JOURNAL OF BIOMOLECULAR NMR,J BIOMOL NMR,SPRINGER,K  D  JS Q  P  B1 BA BP CC ES,0925-2738,1573-5001,NETHERLANDS,English,,,,Biochemistry & Molecular Biology
09793J,JOURNAL OF BIOMOLECULAR NMR,J BIOMOL NMR,SPRINGER,K  D  JS Q  P  B1 BA BP CC ES,0925-2738,1573-5001,NETHERLANDS,English,,,,Spectroscopy
12145J,JOURNAL OF BIOMOLECULAR SCREENING,J BIOMOL SCREEN,SAGE PUBLICATIONS INC,D  JS Q  XC P  B2 BA BP PI CC ES,1087-0571,1552-454X,UNITED STATES,English,,,,Biochemical Research Methods
12145J,JOURNAL OF BIOMOLECULAR SCREENING,J BIOMOL SCREEN,SAGE PUBLICATIONS INC,D  JS Q  XC P  B2 BA BP PI CC ES,1087-0571,1552-454X,UNITED STATES,English,,,,"Chemistry, Analytical"
12145J,JOURNAL OF BIOMOLECULAR SCREENING,J BIOMOL SCREEN,SAGE PUBLICATIONS INC,D  JS Q  XC P  B2 BA BP PI CC ES,1087-0571,1552-454X,UNITED STATES,English,,,,Biotechnology & Applied Microbiology
05923J,JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS,J BIOMOL STRUCT DYN,TAYLOR & FRANCIS INC,K  D  JS Q  P  B1 BA BP PI CC ES SP,0739-1102,1538-0254,UNITED STATES,English,,,,Biophysics
05923J,JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS,J BIOMOL STRUCT DYN,TAYLOR & FRANCIS INC,K  D  JS Q  P  B1 BA BP PI CC ES SP,0739-1102,1538-0254,UNITED STATES,English,,,,Biochemistry & Molecular Biology
C7245J,Journal of Bionic Engineering,J BIONIC ENG,SCIENCE PRESS,D  JS Q  XC T  WS CC ES,1672-6529,,PEOPLES R CHINA,English,,,,"Engineering, Multidisciplinary"
C7245J,Journal of Bionic Engineering,J BIONIC ENG,SCIENCE PRESS,D  JS Q  XC T  WS CC ES,1672-6529,,PEOPLES R CHINA,English,,,,"Materials Science, Biomaterials"
C7245J,Journal of Bionic Engineering,J BIONIC ENG,SCIENCE PRESS,D  JS Q  XC T  WS CC ES,1672-6529,,PEOPLES R CHINA,English,,,,Robotics
C6354J,Journal of Biopharmaceutical Statistics,J BIOPHARM STAT,TAYLOR & FRANCIS INC,D  JS Q  XC ES SP,1054-3406,1520-5711,UNITED STATES,English,,,,Statistics & Probability
C6354J,Journal of Biopharmaceutical Statistics,J BIOPHARM STAT,TAYLOR & FRANCIS INC,D  JS Q  XC ES SP,1054-3406,1520-5711,UNITED STATES,English,,,,Pharmacology & Pharmacy
C8879J,Journal of Biophotonics,J BIOPHOTONICS,WILEY-V C H VERLAG GMBH,D  JS Q  XC B2 BA BP ES,1864-063X,1864-0648,GERMANY,English,,,,Biochemical Research Methods
C8879J,Journal of Biophotonics,J BIOPHOTONICS,WILEY-V C H VERLAG GMBH,D  JS Q  XC B2 BA BP ES,1864-063X,1864-0648,GERMANY,English,,,,Optics
C8879J,Journal of Biophotonics,J BIOPHOTONICS,WILEY-V C H VERLAG GMBH,D  JS Q  XC B2 BA BP ES,1864-063X,1864-0648,GERMANY,English,,,,Biophysics
13031J,JOURNAL OF BIOSCIENCE AND BIOENGINEERING,J BIOSCI BIOENG,SOC BIOSCIENCE BIOENGINEERING JAPAN,K  D  JS Q  A  P  B1 BA BP CC ES,1389-1723,1347-4421,JAPAN,English,,,,Biotechnology & Applied Microbiology
13031J,JOURNAL OF BIOSCIENCE AND BIOENGINEERING,J BIOSCI BIOENG,SOC BIOSCIENCE BIOENGINEERING JAPAN,K  D  JS Q  A  P  B1 BA BP CC ES,1389-1723,1347-4421,JAPAN,English,,,,Food Science & Technology
03500J,JOURNAL OF BIOSCIENCES,J BIOSCIENCES,INDIAN ACAD SCIENCES,K  D  JS Q  A  P  B1 B7 BA BP CC ES,0250-5991,0973-7138,INDIA,English,,,,Biology
51238J,JOURNAL OF BIOSOCIAL SCIENCE,J BIOSOC SCI,CAMBRIDGE UNIV PRESS,J  SS JZ Q  B  B1 BA BP CC ES,0021-9320,1469-7599,ENGLAND,English,0,1,,"Social Sciences, Biomedical"
51238J,JOURNAL OF BIOSOCIAL SCIENCE,J BIOSOC SCI,CAMBRIDGE UNIV PRESS,J  SS JZ Q  B  B1 BA BP CC ES,0021-9320,1469-7599,ENGLAND,English,,,,"Public, Environmental & Occupational Health"
51238J,JOURNAL OF BIOSOCIAL SCIENCE,J BIOSOC SCI,CAMBRIDGE UNIV PRESS,J  SS JZ Q  B  B1 BA BP CC ES,0021-9320,1469-7599,ENGLAND,English,,,,Demography
06287J,JOURNAL OF BIOTECHNOLOGY,J BIOTECHNOL,ELSEVIER SCIENCE BV,K  D  JS Q  A  P  B1 BA BP CC ES,0168-1656,1873-4863,NETHERLANDS,English,1,0,,Biotechnology & Applied Microbiology
C6021J,Journal of Black Psychology,J BLACK PSYCHOL,SAGE PUBLICATIONS INC,J  SS JZ Q  B  CC ES,0095-7984,1552-4558,UNITED STATES,English,0,1,,"Psychology, Multidisciplinary"
51249J,JOURNAL OF BLACK STUDIES,J BLACK STUD,SAGE PUBLICATIONS INC,J  SS JZ Q  B  CC ES,0021-9347,1552-4566,UNITED STATES,English,,,,Ethnic Studies
51249J,JOURNAL OF BLACK STUDIES,J BLACK STUD,SAGE PUBLICATIONS INC,J  SS JZ Q  B  CC ES,0021-9347,1552-4566,UNITED STATES,English,,,,"Social Sciences, Interdisciplinary"
51262J,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,J BONE JOINT SURG AM,JOURNAL BONE JOINT SURGERY INC,K  D  JS Q  C  P  PI CC ES,0021-9355,1535-1386,UNITED STATES,English,1,0,,Orthopedics
51262J,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,J BONE JOINT SURG AM,JOURNAL BONE JOINT SURGERY INC,K  D  JS Q  C  P  PI CC ES,0021-9355,1535-1386,UNITED STATES,English,,,,Surgery
12448J,JOURNAL OF BONE AND MINERAL METABOLISM,J BONE MINER METAB,SPRINGER JAPAN KK,D  JS Q  XC P  B1 BA BP PI CC ES,0914-8779,1435-5604,JAPAN,English,,,,Endocrinology & Metabolism
12448J,JOURNAL OF BONE AND MINERAL METABOLISM,J BONE MINER METAB,SPRINGER JAPAN KK,D  JS Q  XC P  B1 BA BP PI CC ES,0914-8779,1435-5604,JAPAN,English,,,,"Medicine, Research & Experimental"
06804J,JOURNAL OF BONE AND MINERAL RESEARCH,J BONE MINER RES,WILEY-BLACKWELL,K  D  JS Q  P  DF B1 BA BP PI CC ES,0884-0431,1523-4681,UNITED STATES,English,,,,Endocrinology & Metabolism
D2789J,Journal of Bone Oncology,J BONE ONCOL,ELSEVIER SCIENCE BV,D  JS Q  XC ES,2212-1366,2212-1374,NETHERLANDS,English,,,,Oncology
C8392J,Journal of Breast Cancer,J BREAST CANCER,KOREAN BREAST CANCER SOC,D  JS Q  XC WS ES,1738-6756,2092-9900,SOUTH KOREA,English,,,,Oncology
D0280J,Journal of Breath Research,J BREATH RES,IOP PUBLISHING LTD,D  JS Q  XC ES,1752-7155,1752-7163,ENGLAND,English,,,,Biochemical Research Methods
D0280J,Journal of Breath Research,J BREATH RES,IOP PUBLISHING LTD,D  JS Q  XC ES,1752-7155,1752-7163,ENGLAND,English,,,,Respiratory System
C6994J,Journal of Bridge Engineering,J BRIDGE ENG,ASCE-AMER SOC CIVIL ENGINEERS,D  JS Q  XC T  CC ES,1084-0702,1943-5592,UNITED STATES,English,,,,"Engineering, Civil"
D0011J,Journal of British Cinema and Television,J BRIT CINE TELEV,EDINBURGH UNIV PRESS,H  Q  Y  CC,1743-4521,1755-1714,ENGLAND,English,0,,1,"Film, Radio, Television"
00104J,JOURNAL OF BRITISH STUDIES,J BRIT STUD,CAMBRIDGE UNIV PRESS,J  SS H  JZ Q  XC B  Y  CC ES,0021-9371,1545-6986,UNITED STATES,English,,1,,History
00104J,JOURNAL OF BRITISH STUDIES,J BRIT STUD,CAMBRIDGE UNIV PRESS,J  SS H  JZ Q  XC B  Y  CC ES,0021-9371,1545-6986,UNITED STATES,English,,,,History
06247J,JOURNAL OF BROADCASTING & ELECTRONIC MEDIA,J BROADCAST ELECTRON,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",J  SS JZ Q  B  CC ES SP,0883-8151,1550-6878,UNITED STATES,English,,,0,"Film, Radio, Television"
06247J,JOURNAL OF BROADCASTING & ELECTRONIC MEDIA,J BROADCAST ELECTRON,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",J  SS JZ Q  B  CC ES SP,0883-8151,1550-6878,UNITED STATES,English,,,,Communication
51398J,JOURNAL OF BRYOLOGY,J BRYOL,MANEY PUBLISHING,K  D  JS Q  A  B1 BA BP CC ES,0373-6687,1743-2820,ENGLAND,English,1,0,,Plant Sciences
D0951J,Journal of Building Performance Simulation,J BUILD PERFORM SIMU,TAYLOR & FRANCIS LTD,D  JS Q  XC T  CC ES,1940-1493,1940-1507,ENGLAND,English,,,,Construction & Building Technology
C7163J,Journal of Building Physics,J BUILD PHYS,SAGE PUBLICATIONS LTD,D  JS Q  XC T  CC ES,1744-2591,1744-2583,ENGLAND,English,,,,Construction & Building Technology
C8049J,Journal of BUON,J BUON,ZERBINIS MEDICAL PUBL,D  JS Q  XC WS ES,1107-0625,,GREECE,English,,,,Oncology
C6448J,Journal of Burn Care & Research,J BURN CARE RES,LIPPINCOTT WILLIAMS & WILKINS,D  JS Q  XC C  B2 BA BP PI CC ES SP,1559-047X,1559-0488,UNITED STATES,English,,,,Surgery
06579J,JOURNAL OF BUSINESS & ECONOMIC STATISTICS,J BUS ECON STAT,AMER STATISTICAL ASSOC,D  J  SS JS JZ Q  B  BC CC ES SP,0735-0015,1537-2707,UNITED STATES,English,,1,,Economics
06579J,JOURNAL OF BUSINESS & ECONOMIC STATISTICS,J BUS ECON STAT,AMER STATISTICAL ASSOC,D  J  SS JS JZ Q  B  BC CC ES SP,0735-0015,1537-2707,UNITED STATES,English,,,,Statistics & Probability
06579J,JOURNAL OF BUSINESS & ECONOMIC STATISTICS,J BUS ECON STAT,AMER STATISTICAL ASSOC,D  J  SS JS JZ Q  B  BC CC ES SP,0735-0015,1537-2707,UNITED STATES,English,,,,"Social Sciences, Mathematical Methods"
12302J,JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,J BUS IND MARK,EMERALD GROUP PUBLISHING LIMITED,J  SS JZ Q  XC B  BC CC ES,0885-8624,2052-1189,UNITED STATES,English,0,,,Business
10947J,JOURNAL OF BUSINESS AND PSYCHOLOGY,J BUS PSYCHOL,SPRINGER,J  SS JZ Q  B  BC CC ES,0889-3268,1573-353X,UNITED STATES,English,,,,Business
10947J,JOURNAL OF BUSINESS AND PSYCHOLOGY,J BUS PSYCHOL,SPRINGER,J  SS JZ Q  B  BC CC ES,0889-3268,1573-353X,UNITED STATES,English,,,,"Psychology, Applied"
10948J,JOURNAL OF BUSINESS AND TECHNICAL COMMUNICATION,J BUS TECH COMMUN,SAGE PUBLICATIONS INC,J  SS JZ Q  B  BC CC ES,1050-6519,1552-4574,UNITED STATES,English,,,,Business
10948J,JOURNAL OF BUSINESS AND TECHNICAL COMMUNICATION,J BUS TECH COMMUN,SAGE PUBLICATIONS INC,J  SS JZ Q  B  BC CC ES,1050-6519,1552-4574,UNITED STATES,English,,,,Communication
C8116J,Journal of Business Economics and Management,J BUS ECON MANAG,VILNIUS GEDIMINAS TECH UNIV,SS JZ Q  XC WS ES SP,1611-1699,2029-4433,LITHUANIA,English,,,,Economics
C8116J,Journal of Business Economics and Management,J BUS ECON MANAG,VILNIUS GEDIMINAS TECH UNIV,SS JZ Q  XC WS ES SP,1611-1699,2029-4433,LITHUANIA,English,,,,Business
04232J,JOURNAL OF BUSINESS ETHICS,J BUS ETHICS,SPRINGER,J  SS JZ Q  B  BC CC ES,0167-4544,1573-0697,NETHERLANDS,English,,,,Business
04232J,JOURNAL OF BUSINESS ETHICS,J BUS ETHICS,SPRINGER,J  SS JZ Q  B  BC CC ES,0167-4544,1573-0697,NETHERLANDS,English,,,,Ethics
07821J,Journal of Business Finance & Accounting,J BUS FINAN ACCOUNT,WILEY-BLACKWELL,J  SS JZ Q  B  BC CC ES,0306-686X,1468-5957,ENGLAND,English,,,,"Business, Finance"
C9780J,Journal of Business Logistics,J BUS LOGIST,WILEY-BLACKWELL,J  SS JZ Q  XC B  CC ES,0735-3766,2158-1592,UNITED STATES,English,,,,Management
51404J,JOURNAL OF BUSINESS RESEARCH,J BUS RES,ELSEVIER SCIENCE INC,J  SS JZ Q  B  BC CC ES,0148-2963,1873-7978,UNITED STATES,English,,,,Business
07033J,JOURNAL OF BUSINESS VENTURING,J BUS VENTURING,ELSEVIER SCIENCE BV,J  SS JZ Q  B  BC CC ES,0883-9026,1873-2003,UNITED STATES,English,,,,Business
C6322J,Journal of Business-to-Business Marketing,J BUS-BUS MARK,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",J  SS JZ Q  B  CC ES SP,1051-712X,1547-0628,UNITED STATES,English,,,,Business
D2003J,Journal of Cachexia Sarcopenia and Muscle,J CACHEXIA SARCOPENI,WILEY-BLACKWELL,D  JS Q  XC ES,2190-5991,2190-6009,GERMANY,English,1,0,,"Medicine, General & Internal"
11893J,JOURNAL OF CAMEL PRACTICE AND RESEARCH,J CAMEL PRACT RES,CAMEL PUBL HOUSE,D  JS Q  XC ES,0971-6777,,INDIA,English,,,,Veterinary Sciences
51414J,JOURNAL OF CANADIAN PETROLEUM TECHNOLOGY,J CAN PETROL TECHNOL,"SPE-SOC PETROLEUM ENGINEERS, CANADA",D  JS Q  XC T  CC ES,0021-9487,2156-4663,CANADA,English,,,,Energy & Fuels
51414J,JOURNAL OF CANADIAN PETROLEUM TECHNOLOGY,J CAN PETROL TECHNOL,"SPE-SOC PETROLEUM ENGINEERS, CANADA",D  JS Q  XC T  CC ES,0021-9487,2156-4663,CANADA,English,,,,"Engineering, Chemical"
51414J,JOURNAL OF CANADIAN PETROLEUM TECHNOLOGY,J CAN PETROL TECHNOL,"SPE-SOC PETROLEUM ENGINEERS, CANADA",D  JS Q  XC T  CC ES,0021-9487,2156-4663,CANADA,English,,,,"Engineering, Petroleum"
51425J,JOURNAL OF CANADIAN STUDIES-REVUE D ETUDES CANADIENNES,J CAN STUD,TRENT UNIV,H  Q  Y  CC,0021-9495,1911-0251,CANADA,Multi-Language,0,,1,"Humanities, Multidisciplinary"
D1604J,Journal of Cancer,J CANCER,IVYSPRING INT PUBL,D  JS Q  XC ES,1837-9664,1837-9664,AUSTRALIA,English,1,,0,Oncology
13291J,JOURNAL OF CANCER EDUCATION,J CANCER EDUC,SPRINGER,D  JS Q  XC C  PI CC ES,0885-8195,1543-0154,UNITED STATES,English,,,,"Public, Environmental & Occupational Health"
13291J,JOURNAL OF CANCER EDUCATION,J CANCER EDUC,SPRINGER,D  JS Q  XC C  PI CC ES,0885-8195,1543-0154,UNITED STATES,English,,,,Oncology
13291J,JOURNAL OF CANCER EDUCATION,J CANCER EDUC,SPRINGER,D  JS Q  XC C  PI CC ES,0885-8195,1543-0154,UNITED STATES,English,,,,"Education, Scientific Disciplines"
01552J,JOURNAL OF CANCER RESEARCH AND CLINICAL ONCOLOGY,J CANCER RES CLIN,SPRINGER,K  D  JS Q  P  DF B1 BA BP PI CC ES,0171-5216,1432-1335,GERMANY,English,,,,Oncology
C8165J,Journal of Cancer Research and Therapeutics,J CANCER RES THER,MEDKNOW PUBLICATIONS & MEDIA PVT LTD,D  JS Q  XC WS ES,0973-1482,1998-4138,INDIA,English,,,,Oncology
D0729J,Journal of Cancer Survivorship,J CANCER SURVIV,SPRINGER,D  SS JS JZ Q  XC B  C  CC ES,1932-2259,1932-2267,UNITED STATES,English,,1,,"Social Sciences, Biomedical"
D0729J,Journal of Cancer Survivorship,J CANCER SURVIV,SPRINGER,D  SS JS JZ Q  XC B  C  CC ES,1932-2259,1932-2267,UNITED STATES,English,,,,Oncology
03884J,JOURNAL OF CARBOHYDRATE CHEMISTRY,J CARBOHYD CHEM,TAYLOR & FRANCIS INC,D  JS Q  CR RD I  PR RC SR CH B1 BA BP PI ES SP,0732-8303,1532-2327,UNITED STATES,English,,0,1,Biochemistry & Molecular Biology
03884J,JOURNAL OF CARBOHYDRATE CHEMISTRY,J CARBOHYD CHEM,TAYLOR & FRANCIS INC,D  JS Q  CR RD I  PR RC SR CH B1 BA BP PI ES SP,0732-8303,1532-2327,UNITED STATES,English,,,,"Chemistry, Organic"
13010J,JOURNAL OF CARDIAC FAILURE,J CARD FAIL,CHURCHILL LIVINGSTONE INC MEDICAL PUBLISHERS,D  JS Q  XC C  DF PI CC ES,1071-9164,1532-8414,UNITED STATES,English,,,0,Cardiac & Cardiovascular Systems
09478J,JOURNAL OF CARDIAC SURGERY,J CARDIAC SURG,WILEY-BLACKWELL,D  JS Q  XC ES,0886-0440,1540-8191,UNITED STATES,English,,,,Cardiac & Cardiovascular Systems
09478J,JOURNAL OF CARDIAC SURGERY,J CARDIAC SURG,WILEY-BLACKWELL,D  JS Q  XC ES,0886-0440,1540-8191,UNITED STATES,English,,,,Surgery
C8365J,Journal of Cardiology,J CARDIOL,ELSEVIER SCIENCE BV,D  JS Q  XC C  WS CC ES,0914-5087,1876-4738,NETHERLANDS,English,,,,Cardiac & Cardiovascular Systems
C6997J,Journal of Cardiopulmonary Rehabilitation and Prevention,J CARDIOPULM REHABIL,LIPPINCOTT WILLIAMS & WILKINS,D  JS Q  XC C  CC ES SP,1932-7501,1932-751X,UNITED STATES,English,,,,Cardiac & Cardiovascular Systems
10925J,JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA,J CARDIOTHOR VASC AN,W B SAUNDERS CO-ELSEVIER INC,K  D  JS Q  C  PI CC ES,1053-0770,1532-8422,UNITED STATES,English,,,,Peripheral Vascular Disease
10925J,JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA,J CARDIOTHOR VASC AN,W B SAUNDERS CO-ELSEVIER INC,K  D  JS Q  C  PI CC ES,1053-0770,1532-8422,UNITED STATES,English,,,,Anesthesiology
10925J,JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA,J CARDIOTHOR VASC AN,W B SAUNDERS CO-ELSEVIER INC,K  D  JS Q  C  PI CC ES,1053-0770,1532-8422,UNITED STATES,English,,,,Respiratory System
10925J,JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA,J CARDIOTHOR VASC AN,W B SAUNDERS CO-ELSEVIER INC,K  D  JS Q  C  PI CC ES,1053-0770,1532-8422,UNITED STATES,English,,,,Cardiac & Cardiovascular Systems
C8957J,Journal of Cardiothoracic Surgery,J CARDIOTHORAC SURG,BIOMED CENTRAL LTD,D  JS Q  XC C  CC ES,1749-8090,,ENGLAND,English,,,,Cardiac & Cardiovascular Systems
D1418J,Journal of Cardiovascular Computed Tomography,J CARDIOVASC COMPUT,ELSEVIER SCIENCE INC,D  JS Q  XC C  CC ES,1934-5925,1934-5925,UNITED STATES,English,,,,"Radiology, Nuclear Medicine & Medical Imaging"
D1418J,Journal of Cardiovascular Computed Tomography,J CARDIOVASC COMPUT,ELSEVIER SCIENCE INC,D  JS Q  XC C  CC ES,1934-5925,1934-5925,UNITED STATES,English,,,,Cardiac & Cardiovascular Systems
09794J,JOURNAL OF CARDIOVASCULAR ELECTROPHYSIOLOGY,J CARDIOVASC ELECTR,WILEY-BLACKWELL,K  D  JS Q  C  P  B2 BA BP PI CC ES,1045-3873,1540-8167,UNITED STATES,English,,,,Cardiac & Cardiovascular Systems
13209J,JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,J CARDIOVASC MAGN R,BIOMED CENTRAL LTD,K  D  JS Q  XC C  PI CC ES,1097-6647,1532-429X,UNITED STATES,English,,,,"Radiology, Nuclear Medicine & Medical Imaging"
13209J,JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,J CARDIOVASC MAGN R,BIOMED CENTRAL LTD,K  D  JS Q  XC C  PI CC ES,1097-6647,1532-429X,UNITED STATES,English,,,,Cardiac & Cardiovascular Systems
C6967J,Journal of Cardiovascular Medicine,J CARDIOVASC MED,LIPPINCOTT WILLIAMS & WILKINS,D  JS Q  XC C  WS CC ES SP,1558-2027,1558-2035,ITALY,English,,,,Cardiac & Cardiovascular Systems
C6462J,Journal of Cardiovascular Nursing,J CARDIOVASC NURS,LIPPINCOTT WILLIAMS & WILKINS,D  J  SS JS JZ Q  XC B  C  CC ES SP,0889-4655,1550-5049,UNITED STATES,English,,1,,Nursing
C6462J,Journal of Cardiovascular Nursing,J CARDIOVASC NURS,LIPPINCOTT WILLIAMS & WILKINS,D  J  SS JS JZ Q  XC B  C  CC ES SP,0889-4655,1550-5049,UNITED STATES,English,,,,Cardiac & Cardiovascular Systems
C6462J,Journal of Cardiovascular Nursing,J CARDIOVASC NURS,LIPPINCOTT WILLIAMS & WILKINS,D  J  SS JS JZ Q  XC B  C  CC ES SP,0889-4655,1550-5049,UNITED STATES,English,,,,Nursing
01545J,JOURNAL OF CARDIOVASCULAR PHARMACOLOGY,J CARDIOVASC PHARM,LIPPINCOTT WILLIAMS & WILKINS,K  D  JS Q  C  P  AP DF B1 BA BP PI CC ES SP,0160-2446,1533-4023,UNITED STATES,English,,0,,Cardiac & Cardiovascular Systems
01545J,JOURNAL OF CARDIOVASCULAR PHARMACOLOGY,J CARDIOVASC PHARM,LIPPINCOTT WILLIAMS & WILKINS,K  D  JS Q  C  P  AP DF B1 BA BP PI CC ES SP,0160-2446,1533-4023,UNITED STATES,English,,,,Pharmacology & Pharmacy
C1455J,JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS,J CARDIOVASC PHARM T,SAGE PUBLICATIONS INC,D  JS Q  XC C  B2 BA BP PI CC ES,1074-2484,1940-4034,UNITED STATES,English,,,,Pharmacology & Pharmacy
C1455J,JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS,J CARDIOVASC PHARM T,SAGE PUBLICATIONS INC,D  JS Q  XC C  B2 BA BP PI CC ES,1074-2484,1940-4034,UNITED STATES,English,,,,Cardiac & Cardiovascular Systems
51436J,JOURNAL OF CARDIOVASCULAR SURGERY,J CARDIOVASC SURG,EDIZIONI MINERVA MEDICA,D  JS Q  XC C  CC ES,0021-9509,1827-191X,ITALY,English,,,,Surgery
51436J,JOURNAL OF CARDIOVASCULAR SURGERY,J CARDIOVASC SURG,EDIZIONI MINERVA MEDICA,D  JS Q  XC C  CC ES,0021-9509,1827-191X,ITALY,English,,,,Cardiac & Cardiovascular Systems
51436J,JOURNAL OF CARDIOVASCULAR SURGERY,J CARDIOVASC SURG,EDIZIONI MINERVA MEDICA,D  JS Q  XC C  CC ES,0021-9509,1827-191X,ITALY,English,,,,Peripheral Vascular Disease
D0361J,Journal of Cardiovascular Translational Research,J CARDIOVASC TRANSL,SPRINGER,D  JS Q  XC B1 BA BP ES,1937-5387,1937-5395,UNITED STATES,English,,,,"Medicine, Research & Experimental"
D0361J,Journal of Cardiovascular Translational Research,J CARDIOVASC TRANSL,SPRINGER,D  JS Q  XC B1 BA BP ES,1937-5387,1937-5395,UNITED STATES,English,,,,Cardiac & Cardiovascular Systems
11226J,JOURNAL OF CAREER ASSESSMENT,J CAREER ASSESSMENT,SAGE PUBLICATIONS INC,J  SS JZ Q  B  CC ES,1069-0727,1552-4590,UNITED STATES,English,0,1,,"Psychology, Applied"
10634J,JOURNAL OF CAREER DEVELOPMENT,J CAREER DEV,SAGE PUBLICATIONS INC,J  SS JZ Q  B  BC CC ES,0894-8453,1556-0856,UNITED STATES,English,,,,"Psychology, Applied"
51480J,JOURNAL OF CATALYSIS,J CATAL,ACADEMIC PRESS INC ELSEVIER SCIENCE,K  D  JS Q  S  T  RD RC SR CC ES,0021-9517,1090-2694,UNITED STATES,English,1,0,,"Chemistry, Physical"
51480J,JOURNAL OF CATALYSIS,J CATAL,ACADEMIC PRESS INC ELSEVIER SCIENCE,K  D  JS Q  S  T  RD RC SR CC ES,0021-9517,1090-2694,UNITED STATES,English,,,,"Engineering, Chemical"
06737J,JOURNAL OF CATARACT AND REFRACTIVE SURGERY,J CATARACT REFR SURG,ELSEVIER SCIENCE INC,K  D  JS Q  C  PI CC ES,0886-3350,1873-4502,UNITED STATES,English,,,,Ophthalmology
06737J,JOURNAL OF CATARACT AND REFRACTIVE SURGERY,J CATARACT REFR SURG,ELSEVIER SCIENCE INC,K  D  JS Q  C  PI CC ES,0886-3350,1873-4502,UNITED STATES,English,,,,Surgery
14091J,JOURNAL OF CAVE AND KARST STUDIES,J CAVE KARST STUD,NATL SPELEOLOGICAL SOC,D  JS Q  XC S  B2 B7 BA BP CC ES,1090-6924,,UNITED STATES,English,,,,"Geosciences, Multidisciplinary"
51524J,JOURNAL OF CELL BIOLOGY,J CELL BIOL,ROCKEFELLER UNIV PRESS,K  D  JS Q  P  B1 BA BP CC ES,0021-9525,1540-8140,UNITED STATES,English,,,,Cell Biology
